Date,High,Low,Open,Close,Volume,Adj Close
2020-03-02,375.0,354.5,361.0,364.0,1287235.0,363.66400146484375
2020-03-03,381.5,367.0,378.5,375.0,1133834.0,374.6538391113281
2020-03-04,383.0,371.0,375.5,382.0,1001645.0,381.6473693847656
2020-03-05,397.0,367.5,387.0,372.0,1087087.0,371.6566162109375
2020-03-06,372.0,354.5,362.0,372.0,863185.0,371.6566162109375
2020-03-09,367.0,340.0,348.0,363.0,1107728.0,362.6649169921875
2020-03-10,374.5,349.0,363.0,352.0,1147024.0,351.6750793457031
2020-03-11,356.5,341.0,353.0,343.0,1079846.0,342.6833801269531
2020-03-12,328.0,314.5,320.0,320.0,1921846.0,319.7046203613281
2020-03-13,356.0,320.0,320.0,327.5,2228862.0,327.19769287109375
2020-03-16,336.0,308.5,310.0,328.0,2231191.0,327.6972351074219
2020-03-17,345.0,316.0,345.0,326.5,1573740.0,326.1986083984375
2020-03-18,325.0,291.0,320.5,294.5,1914672.0,294.2281494140625
2020-03-19,305.5,268.0,290.5,278.5,2352323.0,278.242919921875
2020-03-20,338.0,297.0,306.0,333.5,1895899.0,333.192138671875
2020-03-23,322.5,304.0,316.0,307.5,1511226.0,307.2161560058594
2020-03-24,316.5,282.5,293.0,313.0,2459466.0,312.7110595703125
2020-03-25,324.0,289.0,318.0,298.0,1839901.0,297.72491455078125
2020-03-26,308.5,290.0,291.5,304.5,1339261.0,304.2189025878906
2020-03-27,307.0,289.5,305.0,300.5,1089122.0,300.22259521484375
2020-03-30,335.0,301.5,302.0,334.0,1068468.0,333.6916809082031
2020-03-31,358.5,330.0,346.0,338.0,1090766.0,337.68798828125
2020-04-01,339.8999938964844,328.20001220703125,334.5,338.29998779296875,631684.0,337.9877014160156
2020-04-02,341.6000061035156,321.20001220703125,337.70001220703125,325.0,620629.0,324.6999816894531
2020-04-03,346.6000061035156,320.70001220703125,327.29998779296875,338.1000061035156,548866.0,337.78790283203125
2020-04-06,365.6000061035156,354.70001220703125,358.8999938964844,360.6000061035156,921179.0,360.26715087890625
2020-04-07,391.8999938964844,372.0,372.0,381.29998779296875,992996.0,380.947998046875
2020-04-08,412.5,374.5,379.3999938964844,409.6000061035156,855862.0,409.2218933105469
2020-04-09,429.70001220703125,415.0,415.0,424.0,601025.0,423.6086120605469
2020-04-14,465.3999938964844,424.29998779296875,429.1000061035156,458.70001220703125,1288629.0,458.2765808105469
2020-04-15,476.79998779296875,451.1000061035156,460.0,453.79998779296875,1252776.0,453.3810729980469
2020-04-16,467.8999938964844,453.5,453.8999938964844,458.20001220703125,836031.0,457.77703857421875
2020-04-17,484.5,467.29998779296875,469.0,481.8999938964844,899296.0,481.45513916015625
2020-04-20,487.8999938964844,458.0,485.0,470.0,956341.0,469.5661315917969
2020-04-21,477.8999938964844,462.0,468.0,475.8999938964844,667889.0,475.460693359375
2020-04-22,483.5,469.1000061035156,479.0,478.1000061035156,968965.0,477.6586608886719
2020-04-23,500.79998779296875,464.6000061035156,490.0,480.79998779296875,1802077.0,480.3561706542969
2020-04-24,482.79998779296875,448.1000061035156,480.79998779296875,455.0,967605.0,454.5799865722656
2020-04-27,473.70001220703125,451.0,455.0,469.20001220703125,840042.0,469.20001220703125
2020-04-28,472.5,451.5,469.0,454.6000061035156,732386.0,454.6000061035156
2020-04-29,453.20001220703125,434.20001220703125,452.1000061035156,436.5,1151309.0,436.5
2020-04-30,447.79998779296875,422.8999938964844,435.0,444.8999938964844,640233.0,444.8999938964844
2020-05-04,453.5,427.29998779296875,437.3999938964844,449.6000061035156,752404.0,449.6000061035156
2020-05-05,462.0,442.5,460.0,453.6000061035156,571283.0,453.6000061035156
2020-05-06,473.1000061035156,456.6000061035156,461.6000061035156,465.1000061035156,903092.0,465.1000061035156
2020-05-07,485.20001220703125,462.20001220703125,470.0,479.70001220703125,804853.0,479.70001220703125
2020-05-08,501.0,477.1000061035156,484.1000061035156,495.0,589408.0,495.0
2020-05-11,509.0,496.20001220703125,496.29998779296875,508.0,868556.0,508.0
2020-05-12,508.0,493.79998779296875,508.0,497.8999938964844,889820.0,497.8999938964844
2020-05-13,504.20001220703125,485.0,493.1000061035156,497.6000061035156,668046.0,497.6000061035156
2020-05-14,497.0,481.20001220703125,495.0,485.0,674392.0,485.0
2020-05-15,497.8999938964844,477.5,490.6000061035156,492.0,643814.0,492.0
2020-05-18,513.5999755859375,499.1000061035156,500.0,504.6000061035156,575720.0,504.6000061035156
2020-05-19,549.7999877929688,514.0,515.0,530.2000122070312,1417711.0,530.2000122070312
2020-05-20,542.7999877929688,524.5999755859375,530.2000122070312,527.2000122070312,510920.0,527.2000122070312
2020-05-22,537.4000244140625,513.0,525.0,537.4000244140625,706438.0,537.4000244140625
2020-05-25,559.7999877929688,539.0,543.0,552.0,722557.0,552.0
2020-05-26,581.2000122070312,560.4000244140625,565.0,565.4000244140625,930945.0,565.4000244140625
2020-05-27,573.0,533.0,571.4000244140625,539.0,1278466.0,539.0
2020-05-28,567.5999755859375,541.4000244140625,544.4000244140625,561.5999755859375,1437521.0,561.5999755859375
2020-05-29,580.4000244140625,548.0,562.2000122070312,555.7999877929688,8725458.0,555.7999877929688
